date;gender;age;has_worked;hours_studied;wakeup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newspaper_score;fatigue_score;demokrcy_score;happiness_score
2021.03.02;male;22;yes;1;9:00;1:00;0;4;yes;0;;5;;3;2;5
2021.03.03;male;22;no;2;9:30;1:30;0;5;yes;0;;4;;3;2;5
2021.03.04;male;22;yes;2;11:30;2:00;0;7;yes;2;;4;;3;2;7
2021.03.05;male;22;no;3;8:00;0:00;0;6;no;2;;5;;9;2;8
2021.03.06;male;22;yes;1;10:00;1:30;1;10;yes;0;;5;;6;2;6
2021.03.07;male;22;no;0;7:30;23:30;0;6;yes;0;;7;;7;2;8
2021.03.08;male;22;yes;0;10:00;3:00;1;9;yes;0;;6;;3;2;6
2021.03.09;male;22;no;2;10:00;1:00;0;9;yes;0;;3;;3;2;6
2021.03.10;male;22;yes;3;9:00;1:30;0;6;yes;0;;5;;3;2;5
2021.03.11;male;22;no;0;8:30;1:00;0;5;yes;2;;4;;9;2;7
2021.03.12;male;22;yes;1;9:00;0:30;0;6;no;2;;4;;9;2;8
2021.03.13;male;22;no;0;9:30;1:00;0;7;yes;0;;6;;5;2;7
2021.03.14;male;22;yes;1;8:00;0:30;0;10;yes;0;;4;;5;2;4
2021.03.15;male;22;no;1;8:30;4:00;0;3;yes;4;;8;;10;2;6
