date;gender;age;has_worked;hours_studied;wakup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newspaper_time;fatigue_score;democracy_score;happiness_score
1;male;21;1;8;10:00:00;1:40:00;4;12;1;0,25;3,00;0,25;0,00;4,00;3,00;3,00
2;male;21;0;8;8:20:00;1:30:00;4;13;1;0;3,00;0,15;0,10;5,00;2,00;2,00
3;male;21;0;6;9:50:00;2:20:00;3;12;1;0,25;3,50;0,00;0,15;3,00;3,00;3,00
4;male;21;0;5;10:40:00;2:30:00;3;13;1;0,5;4,00;1,50;0,50;3,00;2,00;4,00
5;male;21;0;10;10:00:00;2:50:00;3;14;0;0,25;4,50;0,00;0,25;4,00;4,00;4,00
6;male;21;0;6;8:30:00;2:25:00;3;14;1;0,5;3,50;0,50;0,10;2,00;1,00;5,00
7;male;21;0;9;10:40:00;2:10:00;4;10;1;0,2;3,00;0,00;0,20;1,50;2,00;4,00
8;male;21;0;7;10:00:00;2:00:00;3;12;1;0,2;3,50;0,20;0,10;4,00;2,00;2,00
9;male;21;0;4;8:00:00;2:20:00;4;11;1;0,15;4,50;5,00;0,00;2,00;1,00;7,00
10;male;21;1;3;10:00:00;2:00:00;3;12;1;0,25;3,50;1,50;0,30;3,00;3,00;2,00
11;male;21;0;2;11:30:00;2:30:00;3;9;1;0,2;4,00;0,00;0,40;3,00;2,00;4,00
12;male;21;0;10;8:00:00;2:00:00;3;14;0;0,15;3,50;1,00;0,50;2,00;1,00;5,00
13;male;21;0;1;9:45:00;3:15:00;2;6;1;0;4,50;14,00;0,00;6,00;2,00;9,00
14;male;21;0;5;11:45:00;2:30:00;2;11;1;0,2;4,00;0,00;0,10;5,00;3,00;4,00
