date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water_litre,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score
02/03/2021,male,22,0,6,04:45,00:00,2,10,1,1,3,00:20,01:30,10,NA,8
03/03/2021,male,22,0,5,05:15,22:45,2,8,1,0,2.5,01:00,01:10,10,NA,7
04/03/2021,male,22,0,8,05:30,22:30,2,11,1,1,3.5,00:00,02:00,9,NA,6
05/03/2021,male,22,0,9,05:00,21:30,3,12.5,1,0,4,01:30,03:00,7,NA,9
06/03/2021,male,22,0,10,04:45,22:00,2,14,1,1,4.5,01:00,02:30,7,NA,8
07/03/2021,male,22,0,6,05:30,22:00,3,9,1,01:30,3.5,03:00,01:00,8,NA,7
08/03/2021,male,22,0,12,04:45,22:30,3,14,1,0,5,00:30,01:00,7,NA,9
09/03/2021,male,22,0,10,05:20,23:15,2,12,1,0,4,00:00,01:30,9,NA,7
10/03/2021,male,22,0,4,06:30,21:30,2,10,1,0,3.5,02:00,03:00,6,NA,8
11/03/2021,male,22,0,6,04:45,23:00,2,14,1,0,3.5,01:00,02:00,5,NA,7
12/03/2021,male,22,0,8,05:30,22:30,2,13,1,0,4,00:30,02:30,5,NA,7
13/03/2021,male,22,0,5,06:30,23:00,2,14,1,0,3.5,02:00,02:30,6,NA,8
14/03/2021,male,22,0,4,06:00,00:00,2,12,1,0,3.5,02:30,01:30,6,NA,9
15/03/2021,male,22,0,6,05:30,,2,,1,1, ,,,,NA,
