date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_time,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score
02/03/2021,male,26,Y,1.5,7:15,23:15,3,13.5,Y,0.45,2.5,2,1.5,7,8,7
03/03/2021,male,26,Y,1,7:05,23:05,3,12.0,Y,0.40,3,2.5,2,6,7,7
04/03/2021,male,26,Y,2,7:35,23:30,3,14.0,Y,0,2,3,1.5,7,9,7
05/03/2021,male,26,Y,2.5,8:10,23:50,3,13.0,N,0,3,2,2,6,8,8
06/03/2021,male,26,N,4,8:15,23:20,3,7.0,Y,0.45,2.5,3,2.5,7,8,8
07/03/2021,male,26,N,3,8:20,23:10,3,7.0,Y,0,3,3,2,7,8,7
08/03/2021,male,26,Y,3,7:10,23:55,3,13.0,Y,0.45,3,2,1,7,7,7
09/03/2021,male,26,Y,1,8:10,23:10,3,12.5,N,0,2,1,1,6,8,7
10/03/2021,male,26,Y,2,7:25,23:30,3,13.5,Y,0,2.5,2,1.5,6,7,6
11/03/2021,male,26,Y,2,7:35,23:20,3,12.0,N,0.45,2,2,1,7,7,8
12/03/2021,male,26,Y,0,6:35,23:05,3,12.5,Y,0,2,3.5,1.5,7,8,8
13/03/2021,male,26,N,0,6:55,23:10,3,3.0,Y,0.45,3,3,1,8,7,8
14/03/2021,male,26,N,3,6:45,23:00,3,6.0,Y,0.45,3,3.5,2,7,7,8
15/03/2021,male,26,N,,7:15,,3,7.0,N,0.45,2,3,1.5,7,8,7
