date;gender;age;has_worked;hours_studied;wakeup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newspaper_score;fatigue_score;demokrcy_score;happiness_score
20021.03.02.;male;21;no;3;8:00;0:15;0;7;yes;1,5;2,5;8;8;3;;8
20021.03.03.;male;21;no;2;7:35;1:30;0;4;yes;0;3,5;4;6;9;;6
20021.03.04.;male;21;no;3;8:00;23:30;0;7;yes;0;3;2;7;7;;7
20021.03.05.;male;21;no;6;8:00;23:20;1;9;no;1,5;2,5;3;6;4;;8
20021.03.06.;male;21;no;1;7:45;0:10;1;10;yes;0,75;2;3;5;5;;6
20021.03.07.;male;21;no;2;8:30;3:45;0;6;yes;0,5;3;10;8;5;;9
20021.03.08.;male;21;no;6;10:00;23:50;2;8;yes;0;2,5;1,5;6;8;;5
20021.03.09.;male;21;no;6;7:30;0:00;0;7;yes;0;3;2;4;6;;6
20021.03.10.;male;21;no;7;7:30;0:40;1;8;yes;1,5;2,5;1;9;7;;8
20021.03.11.;male;21;no;7;7:30;23:45;1;9;yes;2;2,5;1,5;7;9;;4
20021.03.12.;male;21;no;6;7:30;0:15;0;7;no;1,5;2;3;10;5;;4
20021.03.13.;male;21;no;2;8:00;2:00;1;5;yes;0;3;12;5;6;;6
20021.03.14.;male;21;no;3;8:30;0:00;1;6;yes;0;3;1;7;8;;5
20021.03.15.;male;21;no;3;8:00;;2;;yes;1,5;2,5;6;5;5;;8
