date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score
2021.03.02,M,24,1,0,6:45,22:05,1,12,0,90,3,0,30,4,8,8
2021.03.03,M,24,1,0,6:30,22:10,2,11,0,45,5,0,20,3,6,7
2021.03.04,M,24,1,0,6:30,22:10,2,11,0,52,5,1,30,3,9,9
2021.03.05,M,24,1,0,6:45,1:30,2,10,1,45,5,6,50,8,10,10
2021.03.06,M,24,0,0,7:00,23:59,1,10,1,10,3.5,12,20,1,10,10
2021.03.07,M,24,0,0,8:00,22:10,1,4,1,120,4,4,20,3,7,8
2021.03.08,M,24,1,0,6:45,0:30,2,16,1,45,4,1,20,3,7,6
2021.03.09,M,24,1,0,7:45,22:15,2,12,1,15,4,0,10,3,8,9
2021.03.10,M,24,1,0,6:45,22:20,1,12,0,45,4,0,10,4,5,7
2021.03.11,M,24,1,0,6:45,22:20,2,14,0,30,4,2,10,4,5,7
2021.03.12,M,24,1,0,6:45,22:30,2,14,1,40,4,2,10,3,5,8
2021.03.13,M,24,0,0,7:30,22:20,0,6,0,45,2,0,20,7,6,6
2021.03.14,M,24,0,0,7:15,22:00,0,8,1,45,3,0,30,4,6,5
2021.03.15,M,24,0,0,7:00,,1,4,0,60,,,,,,
