date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatique_score,democracy_score,happiness_score
2021.03.02,female,21,0,5,10:00,0:30,1,14,1,1.5,3,1.5,0.5,2,7,8
2021.03.03,female,21,0,3,9:00,1:20,1,12,1,0,2,0.5,0,6,7,6
2021.03.04,female,21,0,4,10:00,1:00,1,7,1,0.5,2,6,0,2,7,8
2021.03.05,female,21,0,4,7:40,1:30,1,7,1,0,2,10,0,4,7,8
2021.03.06,female,21,0,0,7:40,1:00,1,15,1,0,1.5,9,0,3,7,9.9
2021.03.07,female,21,0,3,10:00,7:40,1,8.5,1,0.5,2,3,0,4,7,9.5
2021.03.08,female,21,0,10,12:00,1:30,3,15,1,0,2,1,0.5,5,7,8
2021.03.09,female,21,0,5,8:30,1:30,2,9,1,1,2.5,2,0.5,2,7,8
2021.03.10,female,21,0,4,10:00,1:30,2,5.5,1,0,3,0,1,2,7,7
2021.03.11,female,21,0,1,10:00,2:00,1,7,1,0.5,3,5,0,3,7,7
2021.03.12,female,21,0,5,10:00,3:00,2,6.5,1,0,3,6,0.5,1,7,9
2021.03.13,female,21,0,4,9:30,2:00,1,6,1,1.5,3.5,10,0.5,1,7,9
2021.03.14,female,21,0,4,8:30,4:00,1,5.5,1,0,2,12,0.5,1,7,9
