date;gender;age;has_worked;hours_study;wakeup_time;bed_time;n_coffein;screen_time;has_meat;exercise_hours;water;social_hours;newpaper_time;fatigue_score;democracy_score;hapiness_score
2021.03.02.;women;24;yes;1,50;7:30;24:00:00;1;12;no;1;3;0;1;4;4;4
2021.03.03.;women;24;yes;0,00;7:30;23:00;1;11;no;1;3;0;1;2;3;3
2021.03.04.;women;24;yes;1,50;7:30;23:30;1;12;no;0;3;0;4;3;5;3
2021.03.05.;women;24;yes;1,50;7:30;23:30;1;13;no;1;3;1;3;3;4;4
2021.03.06.;women;24;no;0,00;8:30;22:00;1;12;no;1;3;2;1;3;5;3
2021.03.07.;women;24;no;0,00;8:30;22:00;1;4;no;5;3;5;1;5;4;6
2021.03.08.;women;24;yes;1,50;7:30;23:00;1;14;no;1;3;0;1;6;4;6
2021.03.09.;women;24;yes;2,50;7:30;23:00;1;13;no;1;3;1;1;7;4;5
2021.03.10.;women;24;yes;1,50;7:30;24:00:00;1;8;no;1;2;3;1;8;4;8
2021.03.11.;women;24;yes;3,00;7:30;0:00;1;13;no;0;2;3;1;8;4;10
2021.03.12.;women;24;yes;1,50;7:30;23:30;1;15;no;0;2;2;1;8;4;9
2021.03.13.;women;24;no;3,00;10:00;23:30;2;4;no;1;2;5;1;6;4;9
2021.03.14.;women;24;no;6,00;10:00;23:30;1;12;no;0;2;2;1;7;4;6
2021.03.15.;women;24;no;6,00;10:00;NA;1;12;no;1;3;0;1;6;4;5
