;2021.03.02;2021.03.03;2021.03.04;2021.03.05;2021.03.06;2021.03.07;2021.03.08;2021.03.09;2021.03.10;2021.03.11;2021.03.12;2021.03.13;2021.03.14
gender;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female;Female
age;25;25;25;25;25;25;25;25;25;25;25;25;25
has worked;yes;yes;yes;yes;no;no;yes;yes;yes;yes;yes;no;yes
hours studied ;0,5;0;0;3;0;0;3;2;0;2;;0;0
wake up time ;7:00;6:30;6:30;6:30;6:30;9:00;7:00;7:00;6:30;6:30;6:30;6:30;7:30
bed time ;23:00;23:00;23:00;23:00;0:00;23:00;23:00;0:00;22:00;22:00;22:00;22:30;23:00
n_coffein;6;4;6;6;3;3;5;6;4;7;4;3;4
screen_time;7;7;8;9;10;1;10;9;6;10;8;0;6
has meat ;1;0;0;0;0;1;0;0;0;0;1;0;1
excercise hours ;0,5;1;0,5;0,5;0;2;0;0,5;0;0,5;0,5;5,5;1
water;2,5;1,5;2,5;2,5;1,5;1,5;2;2,5;1,5;2;2,5;2;2
social hours;0;6;2;0;4;6;0;2,5;2;0;0;8;3
newspaper ;1,5;0,5;1;1;0;0,5;0,7;1;0,6;0,3;1;1;0,5
fatigue ;2;5;6;6;1;3;4;1;5;3;4;4;4
democracy;8;8;9;8;8;8;8;8;8;8;8;8;8
happiness ;4;6;8;7;7;8;7;6;5;5;5;7;6
