;gender;age;has worked;hours studied;wake up time;bed time;n_coffein;screen_time;has meat;excercise hours;water;social hours;newspaper;fatigue;democracy;happiness
3/2/2021;1;23;0;6;10:00;1:00;4;10;1;0;1;0;1,5;2;9;3
3/3/2021;1;23;0;8;10:00;1:00;2;11;0;0;1;5;1;5;9;6
3/4/2021;1;23;0;6;10:00;1:00;2;11;1;0;1,5;6;2;6;9;6
3/5/2021;1;23;0;6;10:00;1:00;3;10;1;0;2;0;1;6;8;6
3/6/2021;1;23;0;5;10:00;1:00;2;10;0;0;2,5;2;0;1;9;6
3/7/2021;1;23;0;7;10:00;1:00;2;11;1;0;1,5;3;0,5;3;8;8
3/8/2021;1;23;0;8;10:00;1:00;3;11;0;0;1;0;2;4;9;9
3/9/2021;1;23;0;6;10:00;1:00;2;8;0;0;1;3;1;1;9;6
3/10/2021;1;23;0;6;10:00;1:00;2;9;0;0;1;2;2;5;9;9
3/11/2021;1;23;0;6;10:00;1:00;2;11;1;0;1,5;0;3;3;9;9
3/12/2021;1;23;0;7;10:00;1:00;2;11;1;0;1,5;0;1;4;9;3
3/13/2021;1;23;0;6;10:00;1:00;2;10;0;0;2;8;1;4;8;3
3/14/2021;1;23;0;6;10:00;1:00;2;10;1;0;1;3;0,5;4;9;9
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
;;;;;;;;;;;;;;;;
