,date,gender,age,has_worked,hours_studied,wakeup_time,bed_time,n_coffein,screen_time,has_meat,exercise_hours,water,social_hours,newspaper_time,fatigue_score,democracy_score,happiness_score,user_id
0,2021-03-02,male,36.0,1,0.0,9:00,3:00,4.0,13.0,1,0,1,2.0,1,3.0,5.0,5.0,0
1,2021-03-03,male,36.0,1,2.5,8:50,2:30,4.0,12.0,1,0,1,3.0,1,4.0,5.0,6.0,0
2,2021-03-04,male,36.0,1,3.0,8:30,3:30,4.0,13.0,1,0,1,2.0,1,4.0,5.0,5.0,0
3,2021-03-05,male,36.0,1,0.0,8:30,0:00,4.0,7.0,1,1,"1,5",12.0,"0,5",5.0,5.0,6.0,0
4,2021-03-06,male,36.0,0,0.0,6:30,0:30,4.0,4.0,1,1,1,14.0,0,6.0,5.0,6.0,0
5,2021-03-07,male,36.0,0,1.0,9:00,4:00,5.0,9.0,1,"0,5",1,8.0,1,6.0,5.0,5.0,0
6,2021-03-08,male,36.0,1,3.0,8:50,1:30,6.0,13.0,1,0,2,2.0,1,6.0,5.0,5.0,0
7,2021-03-09,male,36.0,1,0.0,8:50,1:30,4.0,12.0,1,0,1,4.0,1,5.0,5.0,5.0,0
8,2021-03-10,male,36.0,1,0.0,9:00,1:00,4.0,13.0,1,0,2,4.0,"0,5",5.0,5.0,5.0,0
9,2021-03-11,male,36.0,1,0.0,9:00,1:30,4.0,13.0,1,0,1,3.0,1,5.0,5.0,5.0,0
10,2021-03-12,male,36.0,1,0.0,9:50,4:00,4.0,10.0,1,0,2,8.0,2,5.0,5.0,5.0,0
11,2021-03-13,male,36.0,0,0.0,10:00,4:30,6.0,10.0,1,1,"0,5",14.0,0,5.0,5.0,6.0,0
12,2021-03-14,male,36.0,1,0.0,10:30,2:45,4.0,10.0,0,0,2,8.0,0,4.0,5.0,4.0,0
13,2021.03.02,male,22.0,yes,1.0,9:00,1:00,0.0,4.0,yes,0,,5.0,,3.0,2.0,5.0,1
14,2021.03.03,male,22.0,no,2.0,9:30,1:30,0.0,5.0,yes,0,,4.0,,3.0,2.0,5.0,1
15,2021.03.04,male,22.0,yes,2.0,11:30,2:00,0.0,7.0,yes,2,,4.0,,3.0,2.0,7.0,1
16,2021.03.05,male,22.0,no,3.0,8:00,0:00,0.0,6.0,no,2,,5.0,,9.0,2.0,8.0,1
17,2021.03.06,male,22.0,yes,1.0,10:00,1:30,1.0,10.0,yes,0,,5.0,,6.0,2.0,6.0,1
18,2021.03.07,male,22.0,no,0.0,7:30,23:30,0.0,6.0,yes,0,,7.0,,7.0,2.0,8.0,1
19,2021.03.08,male,22.0,yes,0.0,10:00,3:00,1.0,9.0,yes,0,,6.0,,3.0,2.0,6.0,1
20,2021.03.09,male,22.0,no,2.0,10:00,1:00,0.0,9.0,yes,0,,3.0,,3.0,2.0,6.0,1
21,2021.03.10,male,22.0,yes,3.0,9:00,1:30,0.0,6.0,yes,0,,5.0,,3.0,2.0,5.0,1
22,2021.03.11,male,22.0,no,0.0,8:30,1:00,0.0,5.0,yes,2,,4.0,,9.0,2.0,7.0,1
23,2021.03.12,male,22.0,yes,1.0,9:00,0:30,0.0,6.0,no,2,,4.0,,9.0,2.0,8.0,1
24,2021.03.13,male,22.0,no,0.0,9:30,1:00,0.0,7.0,yes,0,,6.0,,5.0,2.0,7.0,1
25,2021.03.14,male,22.0,yes,1.0,8:00,0:30,0.0,10.0,yes,0,,4.0,,5.0,2.0,4.0,1
26,2021.03.15,male,22.0,no,1.0,8:30,4:00,0.0,3.0,yes,4,,8.0,,10.0,2.0,6.0,1
27,2021.03.02,male,21.0,no,6.0,7:50,23:30,1.0,12.0,1.0,0.65,2.5,2.0,2.0,2.0,6.0,6.0,2
